2025-12-21
name,score,종가
LX하우시스우,122,17340
보락,115,1047
경동도시가스,113,21900
NH올원리츠,113,3540
태원물산,111,3660
경농,110,9430
유화증권우,110,2775
CR홀딩스,109,5080
씨티알모빌리티,109,4495
DSR,109,3920
에스원,108,76800
GS건설,108,20050
코오롱글로벌우,107,15950
극동유화,107,3510
신흥,106,13970
크라운제과우,106,10160
아남전자,106,1270
SK텔레콤,105,53500
유유제약2우B,105,11470
KT,104,53800
신한알파리츠,104,5500
맵스리얼티,104,5220
이지스레지던스리츠,104,3935
디앤디플랫폼리츠,104,3415
무림페이퍼,104,2065
미원에스씨,103,146900
HL만도,103,54500
녹십자홀딩스2우,103,26500
디와이파워,103,13650
효성ITX,103,12990


2025-12-22
name,score,종가
LX하우시스우,119,17400
보락,115,1048
경동도시가스,114,21700
유화증권우,114,2800
NH올원리츠,113,3510
경농,111,9430
태원물산,111,3615
CR홀딩스,110,5080
씨티알모빌리티,109,4500
DSR,109,3895
에스원,108,77700
GS건설,108,20100
신흥,107,13950
크라운제과우,107,10150
극동유화,107,3505
아남전자,107,1273
SK텔레콤,105,53200
KT,105,53100
코오롱글로벌우,105,15820
유유제약2우B,105,11630
대성에너지,105,8160
무림페이퍼,105,2045
신한알파리츠,104,5490
이지스레지던스리츠,104,3905
유화증권,104,2925
신일전자,104,1327
조흥,103,155400
미원에스씨,103,145700
HL만도,103,55600
녹십자홀딩스2우,103,26300


2025-12-23
name,score,종가
LX하우시스우,119,17360
유화증권우,115,2825
보락,115,1043
경동도시가스,114,21550
NH올원리츠,113,3515
경농,112,9440
크라운제과우,110,10160
CR홀딩스,110,5070
DSR,109,3880
에스원,108,78200
GS건설,108,19900
태원물산,108,3620
아남전자,108,1387
극동유화,107,3535
KT,106,53100
코오롱글로벌우,106,15650
대성에너지,106,8130
씨티알모빌리티,106,4515
무림페이퍼,106,2045
SK텔레콤,105,53400
신흥,105,13950
유유제약2우B,105,11330
유화증권,105,2915
조흥,104,154300
신한알파리츠,104,5470
이지스레지던스리츠,104,3935
